timestamp,open,high,low,close,volume
2021-06-26 00:13:00+00:00,7.56e-06,7.58e-06,7.56e-06,7.57e-06,195046.0
2021-06-26 00:14:00+00:00,7.57e-06,7.59e-06,7.57e-06,7.59e-06,553348.0
2021-06-26 00:15:00+00:00,7.59e-06,7.63e-06,7.56e-06,7.62e-06,364776.0
2021-06-26 00:16:00+00:00,7.62e-06,7.64e-06,7.61e-06,7.64e-06,614276.0
2021-06-26 00:17:00+00:00,7.63e-06,7.64e-06,7.62e-06,7.63e-06,277352.0
2021-06-26 00:18:00+00:00,7.63e-06,7.66e-06,7.63e-06,7.65e-06,357327.0
2021-06-26 00:19:00+00:00,7.65e-06,7.67e-06,7.64e-06,7.65e-06,455800.0
2021-06-26 00:20:00+00:00,7.65e-06,7.66e-06,7.63e-06,7.64e-06,157261.0
2021-06-26 00:21:00+00:00,7.65e-06,7.66e-06,7.63e-06,7.63e-06,256032.0
2021-06-26 00:22:00+00:00,7.63e-06,7.65e-06,7.6e-06,7.61e-06,218488.0
2021-06-26 00:23:00+00:00,7.62e-06,7.65e-06,7.62e-06,7.63e-06,196403.0
2021-06-26 00:24:00+00:00,7.62e-06,7.64e-06,7.6e-06,7.61e-06,335606.0
2021-06-26 00:25:00+00:00,7.61e-06,7.62e-06,7.6e-06,7.61e-06,48850.0
2021-06-26 00:26:00+00:00,7.61e-06,7.63e-06,7.61e-06,7.62e-06,166508.0
2021-06-26 00:27:00+00:00,7.62e-06,7.63e-06,7.62e-06,7.63e-06,101471.0
2021-06-26 00:28:00+00:00,7.62e-06,7.65e-06,7.62e-06,7.64e-06,234978.0
2021-06-26 00:29:00+00:00,7.63e-06,7.65e-06,7.63e-06,7.63e-06,105389.0
2021-06-26 00:30:00+00:00,7.64e-06,7.68e-06,7.63e-06,7.67e-06,234740.0
2021-06-26 00:31:00+00:00,7.67e-06,7.7e-06,7.66e-06,7.68e-06,455965.0
2021-06-26 00:32:00+00:00,7.69e-06,7.69e-06,7.67e-06,7.67e-06,341899.0
2021-06-26 00:33:00+00:00,7.67e-06,7.72e-06,7.66e-06,7.72e-06,381457.0
2021-06-26 00:34:00+00:00,7.7e-06,7.72e-06,7.7e-06,7.7e-06,149800.0
2021-06-26 00:35:00+00:00,7.71e-06,7.71e-06,7.68e-06,7.7e-06,250660.0
2021-06-26 00:36:00+00:00,7.7e-06,7.71e-06,7.69e-06,7.69e-06,126655.0
